price,sqft,bedrooms,bathrooms,location,year_built,condition,house_age,price_per_sqft,bed_bath_ratio
495000,1527,2,1.5,Suburb,1956,Good,70,324.16502946954813,1.3333333333333333
752000,2526,3,2.5,Downtown,1998,Excellent,28,297.70387965162314,1.2
319000,1622,2,1.5,Rural,1975,Fair,51,196.6707768187423,1.3333333333333333
1210000,3102,4,3.0,Waterfront,2005,Excellent,21,390.07092198581563,1.3333333333333333
462000,1835,2,2.0,Urban,1982,Good,44,251.77111716621255,1.0
401000,1742,2,1.5,Suburb,1963,Good,63,230.195177956372,1.3333333333333333
891000,2950,3,2.5,Downtown,2001,Excellent,25,302.03389830508473,1.2
276000,1422,2,1.0,Rural,1952,Fair,74,194.0928270042194,2.0
1680000,3850,5,4.5,Waterfront,2012,Excellent,14,436.3636363636364,1.1111111111111112
527000,2010,3,2.0,Urban,1993,Good,33,262.18905472636817,1.5
338000,1525,2,1.5,Suburb,1965,Fair,61,221.63934426229508,1.3333333333333333
615000,2230,3,2.0,Downtown,1986,Good,40,275.7847533632287,1.5
298000,1650,2,1.5,Rural,1958,Fair,68,180.6060606060606,1.3333333333333333
1140000,3050,4,3.5,Waterfront,2003,Excellent,23,373.7704918032787,1.1428571428571428
482000,1925,3,2.0,Urban,1979,Good,47,250.3896103896104,1.5
425000,1720,2,2.0,Suburb,1970,Good,56,247.09302325581396,1.0
729000,2640,3,2.5,Downtown,1995,Excellent,31,276.1363636363636,1.2
251000,1380,2,1.0,Rural,1948,Poor,78,181.8840579710145,2.0
890000,2890,4,3.0,Mountain,2008,Excellent,18,307.9584775086505,1.3333333333333333
512000,2030,3,2.0,Urban,1988,Good,38,252.2167487684729,1.5
375000,1620,2,1.5,Suburb,1962,Fair,64,231.4814814814815,1.3333333333333333
552000,2150,3,2.0,Downtown,1982,Good,44,256.74418604651163,1.5
348000,1750,2,1.5,Rural,1972,Fair,54,198.85714285714286,1.3333333333333333
1380000,3480,4,4.0,Waterfront,2015,Excellent,11,396.55172413793105,1.0
492000,1980,3,2.0,Urban,1980,Good,46,248.4848484848485,1.5
440000,1830,3,2.0,Suburb,1975,Good,51,240.43715846994536,1.5
682000,2420,3,2.5,Downtown,1990,Good,36,281.8181818181818,1.2
261000,1450,2,1.0,Rural,1950,Poor,76,180.0,2.0
1250000,3250,4,3.5,Waterfront,2010,Excellent,16,384.61538461538464,1.1428571428571428
535000,2080,3,2.5,Urban,1995,Good,31,257.21153846153845,1.2
398000,1680,2,2.0,Suburb,1968,Fair,58,236.9047619047619,1.0
587000,2180,3,2.0,Downtown,1984,Good,42,269.26605504587155,1.5
325000,1720,2,1.5,Rural,1962,Fair,64,188.95348837209303,1.3333333333333333
1090000,3000,4,3.0,Waterfront,2000,Good,26,363.3333333333333,1.3333333333333333
502000,1950,3,2.0,Urban,1982,Good,44,257.43589743589746,1.5
420000,1750,2,2.0,Suburb,1972,Good,54,240.0,1.0
695000,2550,3,2.5,Downtown,1992,Excellent,34,272.54901960784315,1.2
279000,1480,2,1.0,Rural,1953,Fair,73,188.51351351351352,2.0
1580000,3680,5,4.0,Waterfront,2018,Excellent,8,429.3478260869565,1.25
537000,2050,3,2.0,Urban,1990,Good,36,261.9512195121951,1.5
357000,1580,2,1.5,Suburb,1960,Fair,66,225.9493670886076,1.3333333333333333
582000,2200,3,2.0,Downtown,1985,Good,41,264.54545454545456,1.5
312000,1680,2,1.5,Rural,1959,Fair,67,185.71428571428572,1.3333333333333333
1170000,3150,4,3.5,Waterfront,2005,Excellent,21,371.42857142857144,1.1428571428571428
475000,1920,3,2.0,Urban,1978,Good,48,247.39583333333334,1.5
415000,1720,2,2.0,Suburb,1970,Good,56,241.27906976744185,1.0
748000,2680,3,2.5,Downtown,1997,Excellent,29,279.1044776119403,1.2
249000,1350,2,1.0,Rural,1947,Poor,79,184.44444444444446,2.0
1280000,3280,4,3.5,Waterfront,2012,Excellent,14,390.2439024390244,1.1428571428571428
520000,2050,3,2.0,Urban,1990,Good,36,253.65853658536585,1.5
380000,1650,2,1.5,Suburb,1965,Fair,61,230.3030303030303,1.3333333333333333
620000,2280,3,2.0,Downtown,1988,Good,38,271.9298245614035,1.5
302000,1680,2,1.5,Rural,1960,Fair,66,179.76190476190476,1.3333333333333333
1420000,3520,5,4.0,Waterfront,2017,Excellent,9,403.40909090909093,1.25
495000,1950,3,2.0,Urban,1981,Good,45,253.84615384615384,1.5
430000,1780,2,2.0,Suburb,1972,Good,54,241.57303370786516,1.0
710000,2580,3,2.5,Downtown,1993,Excellent,33,275.1937984496124,1.2
258000,1420,2,1.0,Rural,1950,Poor,76,181.69014084507043,2.0
982000,2980,4,3.0,Mountain,2010,Excellent,16,329.5302013422819,1.3333333333333333
529000,2100,3,2.5,Urban,1992,Good,34,251.9047619047619,1.2
368000,1620,2,1.5,Suburb,1962,Fair,64,227.1604938271605,1.3333333333333333
595000,2230,3,2.0,Downtown,1986,Good,40,266.8161434977578,1.5
335000,1750,2,1.5,Rural,1968,Fair,58,191.42857142857142,1.3333333333333333
1340000,3420,4,4.0,Waterfront,2014,Excellent,12,391.812865497076,1.0
485000,1940,3,2.0,Urban,1979,Good,47,250.0,1.5
428000,1760,2,2.0,Suburb,1971,Good,55,243.1818181818182,1.0
675000,2450,3,2.5,Downtown,1991,Good,35,275.51020408163265,1.2
272000,1480,2,1.0,Rural,1952,Poor,74,183.78378378378378,2.0
1220000,3220,4,3.5,Waterfront,2008,Excellent,18,378.88198757763973,1.1428571428571428
545000,2120,3,2.5,Urban,1997,Good,29,257.07547169811323,1.2
392000,1650,2,2.0,Suburb,1966,Fair,60,237.57575757575756,1.0
575000,2150,3,2.0,Downtown,1983,Good,43,267.4418604651163,1.5
320000,1700,2,1.5,Rural,1961,Fair,65,188.23529411764707,1.3333333333333333
1120000,3050,4,3.0,Waterfront,2002,Good,24,367.21311475409834,1.3333333333333333
510000,1980,3,2.0,Urban,1984,Good,42,257.57575757575756,1.5
438000,1820,3,2.0,Suburb,1974,Good,52,240.65934065934067,1.5
730000,2620,3,2.5,Downtown,1994,Excellent,32,278.62595419847327,1.2
264000,1440,2,1.0,Rural,1951,Poor,75,183.33333333333334,2.0
1520000,3620,5,4.0,Waterfront,2019,Excellent,7,419.88950276243094,1.25
530000,2080,3,2.0,Urban,1991,Good,35,254.80769230769232,1.5
372000,1640,2,1.5,Suburb,1963,Fair,63,226.82926829268294,1.3333333333333333
592000,2220,3,2.0,Downtown,1985,Good,41,266.6666666666667,1.5
328000,1730,2,1.5,Rural,1965,Fair,61,189.59537572254337,1.3333333333333333
1190000,3170,4,3.5,Waterfront,2006,Excellent,20,375.3943217665615,1.1428571428571428
